day,word_count,sd,ave_sentiment,day_count
2021-01-11,2153,0.246968225915057,0.0110543291986287,200
2021-01-12,967,0.265354171531755,-0.0461806961101479,100
2021-01-13,2286,0.266631553801716,-0.00659163226597601,200
2021-01-14,2851,0.252172655999484,0.0186195031182328,200
2021-01-15,2398,0.272701116844501,0.0189285726407312,200
2021-01-16,2169,0.254558266639851,0.0100050977247874,100
2021-01-17,2159,0.235050519909638,0.090297750923361,100
2021-01-18,1459,0.263476261476467,0.0271034901709098,100
2021-01-20,1441,0.264993946073605,0.0423767917327182,100
2021-01-21,3003,0.259870977154009,-0.019760762170164,200
2021-01-22,3150,0.227850807521375,0.0924793302672926,200
2021-01-23,3666,0.293718950640999,0.0299165367947296,200
2021-01-24,1911,0.262956851176852,0.0483691241668759,100
2021-01-27,1008,0.182388173439476,-0.023002390703544,100
