Date, Open, High, Low, Close, Volume
06/29/12, 135.20, 136.27, 134.85, 136.105, 212251109
06/28/12, 132.29, 132.99, 131.28, 132.79, 169242703
06/27/12, 132.42, 133.43, 131.9667, 133.173, 108087906
06/26/12, 131.70, 132.38, 130.93, 131.98, 141633906
06/25/12, 132.05, 132.10, 130.85, 131.32, 146375703
06/22/12, 133.13, 133.71, 132.62, 133.46, 130029203
06/21/12, 135.64, 135.78, 132.33, 132.44, 205272297
06/20/12, 135.71, 136.10, 134.27, 135.48, 206466594
06/19/12, 135.08, 136.25, 134.3714, 135.70, 137382500
06/18/12, 133.58, 134.73, 133.28, 134.40, 131365500
06/15/12, 133.38, 134.26, 133.10, 134.14, 169444406
06/14/12, 132.34, 134.00, 131.98, 133.47, 230616188
06/13/12, 132.53, 133.36, 131.62, 132.07, 172223906
06/12/12, 131.79, 133.01, 131.16, 132.92, 181931703
06/11/12, 134.17, 134.25, 131.28, 131.415, 169756000
06/08/12, 131.71, 133.125, 131.29, 133.10, 143915594
06/07/12, 133.47, 133.53, 131.78, 132.05, 184772703
06/06/12, 129.97, 132.03, 129.93, 131.97, 184202797
06/05/12, 127.85, 129.26, 127.78, 129.07, 164149406
06/04/12, 128.39, 128.74, 127.135, 128.10, 202548297
06/01/12, 129.41, 131.5042, 128.16, 128.16, 253244984
05/31/12, 131.71, 132.45, 130.34, 131.47, 196186203
05/30/12, 132.56, 133.6924, 131.49, 131.76, 162370406
05/29/12, 133.16, 133.93, 131.17, 133.70, 152883391
05/25/12, 132.48, 132.85, 131.78, 132.10, 135465594
05/24/12, 132.63, 132.84, 131.42, 132.53, 167357594
05/23/12, 131.25, 132.46, 129.99, 132.27, 204958297
05/22/12, 132.31, 133.23, 131.34, 132.20, 197531109
05/21/12, 130.16, 132.02, 129.95, 131.97, 177861109
05/18/12, 131.37, 131.60, 129.55, 129.74, 319631094
05/17/12, 132.86, 133.02, 130.79, 130.86, 247992891
05/16/12, 133.94, 134.55, 132.80, 132.829, 207265594
05/15/12, 134.02, 134.81, 133.13, 133.34, 207629297
05/14/12, 134.31, 135.6144, 133.91, 134.11, 163909906
05/11/12, 135.17, 136.87, 135.11, 135.61, 153032406
05/10/12, 136.68, 136.85, 135.71, 136.02, 150600891
05/09/12, 135.10, 136.61, 134.49, 135.74, 220778203
05/08/12, 136.28, 136.77, 134.92, 136.55, 213383906
05/07/12, 136.51, 137.56, 136.46, 137.10, 127765906
05/04/12, 138.515, 139.3012, 136.92, 137.00, 193931297
